model,config,gpu_name,gpu_mem_total_mb,theoretical_size_mb,fp32_size_mb,compression_ratio,params_M,inference_ms_per_forecast,inference_ms_std,idle_power_w,mean_power_w,power_std_w,peak_power_w,net_power_w,energy_j_per_forecast,n_power_samples,power_sample_hz,torch_version,modelopt_version,platform,gpu_tag
DLWP,FP32,NVIDIA A100-SXM4-80GB,85098,10.7,10.7,1.0x,2.68,2677,15,73.5,74.7,0.3,92.6,1.2,198.1,269,20,2.5.1+cu121,0.21.0,casper43,A100
DLWP,INT4_AWQ,NVIDIA A100-SXM4-80GB,85098,1.3,10.7,8.0x,2.68,2991,17,73.4,74.9,1.1,103.5,1.5,222.5,301,20,2.5.1+cu121,0.21.0,casper43,A100
DLWP,INT8_SMOOTHQUANT,NVIDIA A100-SXM4-80GB,85098,2.7,10.7,4.0x,2.68,3032,28,73.5,74.7,0.2,88.9,1.2,223.9,304,20,2.5.1+cu121,0.21.0,casper43,A100
DLWP,W2A32,NVIDIA A100-SXM4-80GB,85098,0.7,10.7,16.0x,2.68,2971,8,73.5,74.9,0.3,89.2,1.4,221.7,300,20,2.5.1+cu121,0.21.0,casper43,A100
DLWP,W4A32,NVIDIA A100-SXM4-80GB,85098,1.3,10.7,8.0x,2.68,2962,12,73.6,74.7,0.2,89.8,1.0,218.7,297,20,2.5.1+cu121,0.21.0,casper43,A100
DLWP,W8A32,NVIDIA A100-SXM4-80GB,85098,2.7,10.7,4.0x,2.68,3527,20,73.6,74.1,0.4,92.6,0.5,259.5,354,20,2.5.1+cu121,0.21.0,casper43,A100
DLWP,W8A8,NVIDIA A100-SXM4-80GB,85098,2.7,10.7,4.0x,2.68,3099,23,73.4,75.0,0.2,88.3,1.6,230.9,312,20,2.5.1+cu121,0.21.0,casper43,A100
FCN,FP32,NVIDIA A100-SXM4-80GB,85098,301.1,301.1,1.0x,75.28,11425,161,73.4,113.4,2.2,348.4,39.9,1291.4,1134,20,2.5.1+cu121,0.21.0,casper43,A100
FCN,INT8_SMOOTHQUANT,NVIDIA A100-SXM4-80GB,85098,75.3,301.1,4.0x,75.28,11595,169,74.0,113.4,0.7,328.1,39.4,1310.0,1149,20,2.5.1+cu121,0.21.0,casper43,A100
FCN,W2A32,NVIDIA A100-SXM4-80GB,85098,18.8,301.1,16.0x,75.28,11424,169,73.8,106.8,3.4,319.9,33.0,1216.5,1134,20,2.5.1+cu121,0.21.0,casper43,A100
FCN,W4A32,NVIDIA A100-SXM4-80GB,85098,37.6,301.1,8.0x,75.28,11356,127,73.8,116.0,1.6,336.8,42.2,1313.5,1127,20,2.5.1+cu121,0.21.0,casper43,A100
FCN,W8A32,NVIDIA A100-SXM4-80GB,85098,75.3,301.1,4.0x,75.28,11442,160,73.8,117.7,2.7,340.2,44.0,1342.9,1135,20,2.5.1+cu121,0.21.0,casper43,A100
FCN,W8A8,NVIDIA A100-SXM4-80GB,85098,75.3,301.1,4.0x,75.28,11552,182,73.7,110.4,2.5,321.1,36.7,1271.7,1146,20,2.5.1+cu121,0.21.0,casper43,A100
DLWP,FP32,Tesla V100-SXM2-32GB,34073,10.7,10.7,1.0x,2.68,4081,73,55.8,56.7,0.3,81.1,0.9,230.8,402,20,2.5.1+cu121,0.21.0,casper29,V100
DLWP,INT4_AWQ,Tesla V100-SXM2-32GB,34073,1.3,10.7,8.0x,2.68,4315,40,58.2,60.4,0.2,99.5,2.2,259.3,423,20,2.5.1+cu121,0.21.0,casper08,V100
DLWP,INT8_SMOOTHQUANT,Tesla V100-SXM2-32GB,34073,2.7,10.7,4.0x,2.68,4298,52,58.2,59.3,0.4,78.4,1.1,252.9,421,20,2.5.1+cu121,0.21.0,casper28,V100
DLWP,W2A32,Tesla V100-SXM2-32GB,34073,0.7,10.7,16.0x,2.68,4303,44,55.7,56.9,0.1,71.4,1.2,244.6,424,20,2.5.1+cu121,0.21.0,casper24,V100
DLWP,W4A32,Tesla V100-SXM2-32GB,34073,1.3,10.7,8.0x,2.68,4257,14,53.6,55.0,0.1,74.1,1.4,233.4,419,20,2.5.1+cu121,0.21.0,casper31,V100
DLWP,W8A32,Tesla V100-SXM2-32GB,34073,2.7,10.7,4.0x,2.68,4914,40,54.8,55.7,0.1,77.4,0.9,272.7,482,20,2.5.1+cu121,0.21.0,casper30,V100
DLWP,W8A8,Tesla V100-SXM2-32GB,34073,2.7,10.7,4.0x,2.68,6733,47,58.6,59.7,0.0,76.3,1.1,400.5,659,20,2.5.1+cu121,0.21.0,casper25,V100
FCN,FP32,Tesla V100-SXM2-32GB,34073,301.1,301.1,1.0x,75.28,15368,504,55.6,95.8,0.6,299.3,40.1,1466.1,1490,20,2.5.1+cu121,0.21.0,casper29,V100
FCN,INT8_SMOOTHQUANT,Tesla V100-SXM2-32GB,34073,75.3,301.1,4.0x,75.28,15899,289,68.5,100.4,0.8,296.0,31.9,1592.7,1539,20,2.5.1+cu121,0.21.0,casper08,V100
FCN,W2A32,Tesla V100-SXM2-32GB,34073,18.8,301.1,16.0x,75.28,15470,273,64.8,89.8,1.0,259.6,25.0,1382.8,1498,20,2.5.1+cu121,0.21.0,casper30,V100
FCN,W4A32,Tesla V100-SXM2-32GB,34073,37.6,301.1,8.0x,75.28,15421,190,69.5,100.6,1.2,306.3,31.1,1547.4,1491,20,2.5.1+cu121,0.21.0,casper28,V100
FCN,W8A32,Tesla V100-SXM2-32GB,34073,75.3,301.1,4.0x,75.28,15276,209,63.9,94.3,0.3,287.7,30.4,1434.9,1481,20,2.5.1+cu121,0.21.0,casper31,V100
FCN,W8A8,Tesla V100-SXM2-32GB,34073,75.3,301.1,4.0x,75.28,15850,264,66.0,95.9,1.0,286.7,29.8,1514.7,1534,20,2.5.1+cu121,0.21.0,casper24,V100
