model,gpu_tag,config,theoretical_size_mb_mean,theoretical_size_mb_std,theoretical_size_mb_count,fp32_size_mb_mean,inference_ms_per_forecast_mean,inference_ms_per_forecast_std,mean_power_w_mean,mean_power_w_std,energy_j_per_forecast_mean,energy_j_per_forecast_std,idle_power_w_mean,peak_power_w_mean,net_power_w_mean,params_M_mean
DLWP,A100,FP32,10.7,,1,10.7,2677.0,,74.7,,198.1,,73.5,92.6,1.2,2.68
DLWP,A100,INT4_AWQ,1.3,,1,10.7,2991.0,,74.9,,222.5,,73.4,103.5,1.5,2.68
DLWP,A100,INT8_SMOOTHQUANT,2.7,,1,10.7,3032.0,,74.7,,223.9,,73.5,88.9,1.2,2.68
DLWP,A100,W2A32,0.7,,1,10.7,2971.0,,74.9,,221.7,,73.5,89.2,1.4,2.68
DLWP,A100,W4A32,1.3,,1,10.7,2962.0,,74.7,,218.7,,73.6,89.8,1.0,2.68
DLWP,A100,W8A32,2.7,,1,10.7,3527.0,,74.1,,259.5,,73.6,92.6,0.5,2.68
DLWP,A100,W8A8,2.7,,1,10.7,3099.0,,75.0,,230.9,,73.4,88.3,1.6,2.68
DLWP,V100,FP32,10.7,,1,10.7,4081.0,,56.7,,230.8,,55.8,81.1,0.9,2.68
DLWP,V100,INT4_AWQ,1.3,,1,10.7,4315.0,,60.4,,259.3,,58.2,99.5,2.2,2.68
DLWP,V100,INT8_SMOOTHQUANT,2.7,,1,10.7,4298.0,,59.3,,252.9,,58.2,78.4,1.1,2.68
DLWP,V100,W2A32,0.7,,1,10.7,4303.0,,56.9,,244.6,,55.7,71.4,1.2,2.68
DLWP,V100,W4A32,1.3,,1,10.7,4257.0,,55.0,,233.4,,53.6,74.1,1.4,2.68
DLWP,V100,W8A32,2.7,,1,10.7,4914.0,,55.7,,272.7,,54.8,77.4,0.9,2.68
DLWP,V100,W8A8,2.7,,1,10.7,6733.0,,59.7,,400.5,,58.6,76.3,1.1,2.68
FCN,A100,FP32,301.1,,1,301.1,11425.0,,113.4,,1291.4,,73.4,348.4,39.9,75.28
FCN,A100,INT8_SMOOTHQUANT,75.3,,1,301.1,11595.0,,113.4,,1310.0,,74.0,328.1,39.4,75.28
FCN,A100,W2A32,18.8,,1,301.1,11424.0,,106.8,,1216.5,,73.8,319.9,33.0,75.28
FCN,A100,W4A32,37.6,,1,301.1,11356.0,,116.0,,1313.5,,73.8,336.8,42.2,75.28
FCN,A100,W8A32,75.3,,1,301.1,11442.0,,117.7,,1342.9,,73.8,340.2,44.0,75.28
FCN,A100,W8A8,75.3,,1,301.1,11552.0,,110.4,,1271.7,,73.7,321.1,36.7,75.28
FCN,V100,FP32,301.1,,1,301.1,15368.0,,95.8,,1466.1,,55.6,299.3,40.1,75.28
FCN,V100,INT8_SMOOTHQUANT,75.3,,1,301.1,15899.0,,100.4,,1592.7,,68.5,296.0,31.9,75.28
FCN,V100,W2A32,18.8,,1,301.1,15470.0,,89.8,,1382.8,,64.8,259.6,25.0,75.28
FCN,V100,W4A32,37.6,,1,301.1,15421.0,,100.6,,1547.4,,69.5,306.3,31.1,75.28
FCN,V100,W8A32,75.3,,1,301.1,15276.0,,94.3,,1434.9,,63.9,287.7,30.4,75.28
FCN,V100,W8A8,75.3,,1,301.1,15850.0,,95.9,,1514.7,,66.0,286.7,29.8,75.28
